"s","a","r","sp"
70,1,0,60
60,3,0,70
70,2,0,70
70,2,0,70
70,3,0,80
80,4,0,70
70,1,0,60
60,2,0,60
60,2,0,60
60,3,0,70
70,4,0,60
60,4,0,70
70,2,0,70
70,4,0,80
80,3,0,79
79,2,0,80
80,3,0,70
70,2,0,70
70,1,0,69
69,4,0,59
59,1,0,58
58,1,0,57
57,2,0,58
58,2,0,59
59,2,0,60
60,1,0,59
59,1,0,58
58,2,0,59
59,4,0,49
49,3,0,59
59,3,0,69
69,3,0,79
79,4,0,89
89,4,0,79
79,4,0,80
80,3,0,70
70,2,0,70
70,1,0,80
80,3,0,79
79,4,0,78
78,1,10,77
77,4,0,67
67,4,0,57
57,4,0,47
47,4,0,37
37,2,0,27
27,3,0,37
37,1,0,36
36,1,0,35
35,4,0,25
25,1,0,24
24,4,0,14
14,2,0,24
3,4,0,3
3,2,0,4
4,3,0,14
14,1,0,13
13,4,0,3
3,4,0,3
3,1,0,2
2,2,0,3
3,2,0,4
4,2,0,5
5,4,0,5
5,2,0,6
6,4,0,6
6,4,0,6
6,4,0,6
6,3,0,16
16,1,0,15
15,3,0,16
16,3,0,15
15,1,0,14
14,1,0,13
13,3,0,23
23,1,3,22
22,1,0,21
21,4,0,11
11,4,0,1
1,1,0,1
1,2,0,11
11,2,0,12
12,1,0,11
11,3,0,21
21,2,0,22
22,1,0,21
21,3,0,31
31,4,0,21
21,4,0,11
11,2,0,12
12,4,0,11
11,4,0,1
1,2,0,11
11,2,0,12
12,2,0,11
11,1,0,11
11,3,0,21
21,2,0,11
11,1,0,11
11,3,0,21
21,4,0,11
11,2,0,12
12,1,0,11
11,3,0,21
21,3,0,31
31,4,0,21
21,2,0,22
22,2,0,23
23,4,3,13
13,1,0,12
12,3,0,22
22,2,0,23
23,4,3,13
13,4,0,3
3,2,0,4
4,1,0,5
5,3,0,15
15,1,0,14
14,4,0,4
4,2,0,5
5,4,0,5
5,3,0,15
15,1,0,14
14,4,0,4
4,2,0,5
5,4,0,5
5,1,0,6
6,2,0,7
7,3,0,8
8,1,0,7
7,2,0,17
17,2,0,18
18,1,0,19
19,1,0,18
18,1,0,17
17,4,0,16
16,4,0,17
17,4,0,7
7,1,0,6
6,1,0,5
5,1,0,6
6,3,0,5
5,2,0,6
6,4,0,6
6,1,0,5
5,4,0,5
5,2,0,6
6,4,0,6
6,3,0,16
16,2,0,6
6,2,0,7
7,3,0,17
17,4,0,27
51,1,0,51
51,3,0,61
61,1,0,61
61,1,0,61
61,4,0,51
51,4,0,61
61,3,0,71
71,1,0,71
71,2,0,72
72,4,0,82
82,1,0,81
81,4,0,71
71,4,0,61
61,4,0,51
51,4,0,41
41,3,0,51
51,3,0,52
52,4,0,42
42,1,0,41
41,2,0,42
42,4,0,32
32,3,0,42
42,3,0,43
43,2,0,53
53,2,0,52
52,3,0,42
42,1,0,43
43,4,0,33
33,4,0,23
23,1,3,22
22,2,0,32
32,3,0,42
42,2,0,41
41,4,0,31
31,3,0,21
21,4,0,11
11,4,0,12
12,1,0,13
13,4,0,3
3,4,0,3
3,3,0,13
13,4,0,3
3,4,0,3
3,1,0,2
2,3,0,12
12,3,0,22
22,1,0,21
21,3,0,22
22,1,0,21
21,1,0,21
21,3,0,31
31,2,0,41
41,3,0,51
51,4,0,41
41,3,0,42
42,3,0,52
52,3,0,62
62,3,0,72
72,2,0,73
73,3,0,63
63,2,0,53
53,4,0,52
52,1,0,51
51,3,0,61
61,1,0,61
61,4,0,62
62,2,0,63
63,2,0,64
64,4,0,54
54,2,0,55
55,2,0,56
56,3,0,66
66,4,0,56
56,3,0,66
66,2,0,56
56,4,0,46
46,4,0,56
56,1,0,55
55,2,0,56
56,4,0,46
46,3,0,56
56,1,0,55
55,3,0,45
45,4,0,35
35,2,0,36
36,4,0,26
26,3,0,36
36,3,0,46
46,3,0,56
56,3,0,66
66,4,0,56
56,2,0,57
57,2,0,58
58,2,0,68
68,3,0,69
69,2,0,79
79,1,0,78
78,3,10,88
88,1,0,78
78,2,10,88
15,2,0,25
25,1,0,35
35,3,0,45
45,2,0,46
46,1,0,45
45,3,0,55
55,2,0,54
54,4,0,64
64,2,0,65
65,2,0,64
64,4,0,54
54,2,0,53
53,3,0,63
63,1,0,62
62,1,0,72
72,2,0,62
62,2,0,72
72,2,0,73
73,1,0,72
72,2,0,73
73,3,0,83
83,2,0,84
84,2,0,85
85,2,0,86
86,4,0,76
76,3,0,66
66,1,0,65
65,1,0,64
64,4,0,54
54,4,0,44
44,4,0,43
43,2,0,44
44,4,0,34
34,2,0,44
44,4,0,54
54,2,0,44
44,4,0,34
34,3,0,44
44,2,0,45
45,1,0,35
35,4,0,36
36,3,0,46
46,4,0,36
36,4,0,26
26,3,0,16
16,1,0,15
15,4,0,5
5,2,0,6
6,4,0,6
6,2,0,5
5,3,0,15
15,4,0,16
16,4,0,6
6,1,0,5
5,4,0,5
5,4,0,5
5,2,0,6
6,1,0,5
5,2,0,6
6,2,0,5
5,3,0,15
15,2,0,16
16,2,0,17
17,2,0,7
7,3,0,17
17,4,0,7
7,4,0,7
7,4,0,7
7,3,0,6
6,2,0,7
7,2,0,17
17,2,0,18
18,1,0,17
17,4,0,7
7,4,0,7
7,1,0,6
6,2,0,7
7,2,0,8
8,3,0,7
7,3,0,17
17,2,0,18
18,2,0,8
8,1,0,9
9,1,0,8
8,4,0,8
8,4,0,8
8,1,0,7
7,3,0,8
8,4,0,8
8,4,0,8
8,3,0,7
7,4,0,7
7,4,0,7
7,3,0,8
8,4,0,8
8,1,0,9
9,4,0,9
9,1,0,8
8,1,0,18
18,2,0,28
43,1,0,42
42,3,0,52
52,1,0,51
51,3,0,61
61,2,0,62
62,1,0,61
61,3,0,71
71,4,0,61
61,1,0,61
61,4,0,51
51,3,0,41
41,3,0,42
42,3,0,52
52,2,0,53
53,1,0,54
54,1,0,44
44,3,0,54
54,4,0,44
44,4,0,43
43,4,0,33
33,2,0,34
34,2,0,24
24,4,0,14
14,3,0,4
4,2,0,5
5,2,0,15
15,2,0,16
16,3,0,26
26,2,0,27
27,3,0,37
37,4,0,27
27,4,0,17
17,2,0,7
7,2,0,17
17,1,0,16
16,3,0,26
26,3,0,36
36,3,0,46
46,2,0,45
45,1,0,55
55,1,0,54
54,2,0,55
55,1,0,54
54,2,0,55
55,1,0,54
54,3,0,55
55,4,0,45
45,4,0,35
35,3,0,45
45,4,0,55
55,3,0,54
54,3,0,44
44,4,0,34
34,3,0,44
44,2,0,45
45,2,0,35
35,3,0,45
45,4,0,35
35,3,0,45
45,3,0,55
55,4,0,45
45,1,0,55
55,2,0,54
54,4,0,44
44,2,0,45
45,4,0,44
44,3,0,54
54,4,0,44
44,1,0,43
43,4,0,33
33,2,0,34
34,2,0,44
44,1,0,43
43,4,0,33
33,2,0,34
34,1,0,33
33,1,0,43
43,2,0,44
44,4,0,34
34,1,0,33
33,1,0,32
32,4,0,22
22,2,0,23
23,1,3,22
22,2,0,12
12,1,0,11
11,4,0,1
1,1,0,1
1,1,0,1
1,4,0,1
1,2,0,2
2,4,0,2
2,2,0,3
3,3,0,4
4,3,0,14
14,1,0,4
4,2,0,5
5,1,0,6
6,3,0,16
16,3,0,26
11,1,0,11
11,3,0,21
21,3,0,31
31,2,0,32
32,2,0,42
42,1,0,41
41,4,0,31
31,3,0,41
41,4,0,31
31,4,0,21
21,2,0,22
22,4,0,32
32,4,0,22
22,1,0,23
23,4,3,13
13,2,0,14
14,2,0,24
24,1,0,23
23,3,3,24
24,1,0,14
14,2,0,15
15,3,0,25
25,2,0,35
35,2,0,34
34,2,0,35
35,4,0,34
34,3,0,44
44,1,0,43
43,2,0,42
42,3,0,52
52,2,0,53
53,3,0,63
63,1,0,62
62,4,0,72
72,4,0,62
62,3,0,72
72,3,0,82
82,3,0,92
92,2,0,91
91,3,0,91
91,3,0,91
91,3,0,91
91,4,0,92
92,2,0,82
82,4,0,81
81,2,0,91
91,1,0,91
91,2,0,92
92,1,0,91
91,2,0,92
92,3,0,92
92,2,0,93
93,1,0,92
92,1,0,91
91,1,0,91
91,1,0,91
91,2,0,81
81,1,0,81
81,3,0,82
82,2,0,83
83,1,0,73
73,1,0,63
63,4,0,73
73,3,0,83
83,3,0,93
93,3,0,93
93,1,0,92
92,4,0,82
82,2,0,83
83,4,0,82
82,2,0,83
83,3,0,73
73,2,0,74
74,4,0,64
64,2,0,65
65,3,0,64
64,2,0,65
65,1,0,64
64,4,0,54
54,4,0,44
44,2,0,43
43,4,0,33
33,2,0,34
34,2,0,24
24,4,0,14
14,4,0,4
4,3,0,14
14,3,0,4
4,3,0,3
3,2,0,13
13,1,0,12
12,3,0,22
22,4,0,12
12,3,0,22
22,3,0,32
32,1,0,31
31,2,0,32
32,3,0,42
42,3,0,52
52,2,0,53
49,3,0,59
59,1,0,60
60,1,0,50
50,2,0,50
50,1,0,49
49,3,0,50
50,1,0,49
49,2,0,50
50,2,0,50
50,1,0,49
49,3,0,48
48,4,0,47
47,2,0,48
48,3,0,58
58,3,0,68
68,2,0,69
69,4,0,59
59,4,0,49
49,2,0,39
39,2,0,40
40,1,0,50
50,1,0,60
60,1,0,59
59,3,0,69
69,2,0,79
79,2,0,80
80,2,0,80
80,1,0,79
79,4,0,69
69,4,0,59
59,3,0,60
60,1,0,59
59,4,0,49
49,2,0,50
50,1,0,49
49,3,0,59
59,1,0,58
58,4,0,57
57,1,0,56
56,3,0,55
55,3,0,56
56,4,0,46
46,2,0,47
47,1,0,37
37,2,0,38
38,1,0,28
28,2,0,27
27,1,0,17
17,1,0,16
16,3,0,26
26,1,0,25
25,3,0,35
35,1,0,34
34,4,0,24
24,2,0,25
25,3,0,35
35,4,0,25
25,4,0,15
15,4,0,5
5,2,0,6
6,2,0,5
5,2,0,4
4,4,0,4
4,4,0,4
4,2,0,3
3,2,0,4
4,2,0,5
5,1,0,4
4,1,0,3
3,1,0,13
13,2,0,14
14,1,0,13
13,2,0,14
14,2,0,15
15,2,0,16
16,1,0,15
15,1,0,14
14,4,0,4
4,1,0,3
3,1,0,2
2,4,0,2
2,2,0,3
3,4,0,3
3,4,0,3
3,1,0,2
2,1,0,1
1,3,0,2
2,1,0,1
1,3,0,11
11,3,0,1
1,2,0,11
11,4,0,1
1,3,0,11
11,2,0,12
12,3,0,22
22,4,0,12
12,3,0,22
22,2,0,23
23,1,3,24
24,3,0,23
55,2,0,56
56,4,0,46
46,1,0,56
56,2,0,57
57,1,0,58
58,4,0,68
68,4,0,67
67,1,0,66
66,4,0,76
76,1,0,75
75,2,0,65
65,3,0,75
75,4,0,65
65,4,0,55
55,3,0,54
54,1,0,53
53,2,0,52
52,4,0,42
42,3,0,52
52,1,0,51
51,1,0,51
51,4,0,41
41,1,0,41
41,3,0,51
51,3,0,52
52,3,0,62
62,1,0,61
61,2,0,71
71,1,0,71
71,3,0,81
81,4,0,71
71,3,0,72
72,1,0,71
71,4,0,61
61,2,0,62
62,3,0,61
61,1,0,61
61,3,0,71
71,3,0,81
81,1,0,81
81,1,0,81
81,4,0,71
71,1,0,71
71,4,0,61
61,1,0,61
61,3,0,71
71,1,0,71
71,3,0,72
72,3,0,71
71,3,0,81
81,3,0,71
71,1,0,71
71,1,0,71
71,1,0,71
71,3,0,81
81,4,0,71
71,1,0,71
71,1,0,71
71,1,0,71
71,4,0,61
61,4,0,51
51,3,0,61
61,2,0,62
62,1,0,52
52,3,0,62
62,4,0,63
63,1,0,62
62,3,0,72
72,4,0,62
62,3,0,72
72,4,0,62
62,4,0,52
52,4,0,42
42,1,0,41
41,3,0,51
51,3,0,41
41,1,0,41
41,2,0,31
31,4,0,21
21,3,0,31
31,2,0,41
41,2,0,42
42,2,0,43
43,3,0,53
53,4,0,43
43,3,0,53
53,2,0,54
54,1,0,53
53,1,0,52
52,4,0,42
42,2,0,43
43,4,0,33
33,3,0,43
43,2,0,44
44,3,0,54
54,2,0,55
55,4,0,45
45,3,0,55
55,4,0,45
45,1,0,44
19,2,0,20
20,3,0,30
30,4,0,20
20,4,0,10
10,4,0,10
10,3,0,20
20,2,0,20
20,3,0,19
19,2,0,9
9,3,0,8
8,2,0,9
9,2,0,19
19,2,0,20
20,2,0,20
20,1,0,19
19,3,0,29
29,2,0,30
30,1,0,29
29,1,0,28
28,3,0,38
38,2,0,39
39,2,0,40
40,3,0,50
50,4,0,40
40,3,0,50
50,3,0,60
60,1,0,50
50,4,0,49
49,4,0,39
39,1,0,38
38,1,0,37
37,1,0,36
36,3,0,46
46,2,0,47
47,4,0,37
37,4,0,47
47,1,0,46
46,4,0,36
36,4,0,26
26,3,0,27
27,4,0,17
17,3,0,27
27,3,0,37
37,4,0,27
27,4,0,17
17,1,0,16
16,3,0,26
26,2,0,27
27,1,0,26
26,3,0,16
16,3,0,6
6,4,0,6
6,1,0,7
7,4,0,7
7,2,0,8
8,4,0,8
8,2,0,9
9,3,0,19
19,1,0,18
18,2,0,19
19,4,0,9
9,4,0,9
9,3,0,8
8,3,0,18
18,2,0,19
19,1,0,29
29,1,0,28
28,1,0,38
38,1,0,37
37,3,0,47
47,3,0,57
57,4,0,58
58,3,0,59
59,2,0,69
69,1,0,68
68,4,0,58
58,4,0,68
68,3,0,78
78,1,10,88
88,2,0,98
98,1,0,97
97,4,0,98
98,1,0,99
99,2,0,98
98,2,0,97
97,2,0,87
87,2,0,77
77,4,0,67
67,1,0,66
66,1,0,65
65,2,0,66
66,1,0,67
67,2,0,68
68,3,0,78
78,3,10,88
88,2,0,87
87,2,0,88
88,1,0,87
87,1,0,86
86,2,0,85
5,4,0,5
5,4,0,5
5,4,0,5
5,1,0,4
4,4,0,4
4,3,0,14
14,1,0,13
13,1,0,23
23,1,3,13
13,4,0,3
3,2,0,4
4,1,0,14
14,4,0,24
24,4,0,23
23,1,3,22
22,4,0,12
12,2,0,22
22,4,0,12
12,1,0,11
11,2,0,12
12,4,0,13
13,3,0,23
23,3,3,24
24,3,0,34
34,4,0,24
24,1,0,34
34,2,0,35
35,3,0,45
45,4,0,35
35,4,0,34
34,4,0,35
35,1,0,34
34,3,0,33
33,2,0,34
34,4,0,33
33,1,0,32
32,3,0,42
42,3,0,52
52,4,0,42
42,2,0,43
43,3,0,53
53,4,0,43
43,4,0,33
33,2,0,34
34,3,0,24
24,3,0,34
34,3,0,24
24,1,0,23
23,3,3,13
13,1,0,3
3,1,0,2
2,1,0,3
3,2,0,4
4,3,0,5
5,2,0,6
6,1,0,5
5,3,0,15
15,1,0,14
14,3,0,24
24,2,0,25
25,3,0,35
35,1,0,34
34,2,0,35
35,2,0,36
36,4,0,26
26,3,0,27
27,3,0,37
37,4,0,27
27,3,0,26
26,1,0,25
25,3,0,35
35,4,0,34
34,3,0,44
44,1,0,43
43,3,0,53
53,1,0,63
63,3,0,53
53,3,0,63
63,1,0,53
53,1,0,52
52,1,0,51
51,1,0,51
51,3,0,41
41,3,0,51
51,1,0,51
51,2,0,52
52,4,0,42
42,4,0,32
32,4,0,22
22,3,0,32
32,1,0,31
31,2,0,32
32,2,0,33
33,4,0,23
23,1,3,22
22,2,0,21
21,4,0,11
11,3,0,21
21,4,0,11
11,1,0,11
16,3,0,6
6,4,0,6
6,4,0,6
6,2,0,5
5,2,0,6
6,3,0,16
16,2,0,17
17,3,0,27
27,3,0,37
37,2,0,38
38,1,0,39
39,2,0,40
40,2,0,40
40,2,0,40
40,4,0,30
30,4,0,20
20,2,0,20
20,3,0,30
30,3,0,40
40,2,0,40
40,2,0,40
40,1,0,39
39,1,0,29
29,4,0,19
19,3,0,29
29,1,0,39
39,1,0,38
38,4,0,37
37,3,0,27
27,2,0,37
37,2,0,38
38,1,0,28
28,4,0,18
18,4,0,19
19,1,0,18
18,4,0,8
8,1,0,18
18,2,0,19
19,1,0,29
29,1,0,28
28,3,0,38
38,3,0,48
48,1,0,38
38,1,0,37
37,4,0,38
38,4,0,28
28,1,0,27
27,4,0,37
37,3,0,36
36,3,0,37
37,3,0,47
47,2,0,48
48,2,0,49
49,2,0,50
50,3,0,49
49,1,0,48
48,4,0,38
38,4,0,28
28,3,0,38
38,4,0,28
28,1,0,38
38,2,0,39
39,1,0,38
38,3,0,48
48,1,0,38
38,3,0,48
48,2,0,49
49,3,0,59
59,2,0,49
49,1,0,48
48,2,0,47
47,4,0,37
37,1,0,47
47,4,0,37
37,1,0,27
27,2,0,28
28,2,0,27
27,1,0,28
28,4,0,18
18,1,0,17
17,1,0,16
16,1,0,15
15,3,0,25
25,2,0,15
15,4,0,16
16,3,0,26
26,1,0,25
25,1,0,24
24,3,0,34
34,2,0,44
44,2,0,45
45,3,0,55
55,2,0,54
54,4,0,44
44,3,0,34
34,3,0,44
44,1,0,43
43,2,0,42
42,4,0,32
32,1,0,31
17,2,0,18
18,1,0,17
17,1,0,7
7,2,0,8
8,4,0,8
8,3,0,18
18,1,0,17
17,4,0,7
7,2,0,8
8,4,0,8
8,4,0,8
8,4,0,8
8,1,0,9
9,3,0,8
8,2,0,9
9,3,0,8
8,1,0,7
7,3,0,17
17,2,0,27
27,2,0,28
28,3,0,38
38,1,0,48
48,2,0,58
58,3,0,68
68,2,0,67
67,3,0,77
77,1,0,76
76,1,0,75
75,2,0,74
74,2,0,75
75,1,0,65
65,1,0,64
64,1,0,65
65,3,0,75
75,3,0,85
85,2,0,84
84,2,0,85
85,3,0,84
84,4,0,85
85,1,0,84
84,2,0,85
85,4,0,84
84,4,0,74
74,1,0,73
73,4,0,63
63,1,0,62
62,1,0,61
61,1,0,61
61,1,0,61
61,3,0,71
71,2,0,72
72,1,0,71
71,3,0,81
81,2,0,82
82,1,0,81
81,2,0,82
82,1,0,81
81,4,0,71
71,4,0,72
72,3,0,82
82,3,0,81
81,4,0,71
71,1,0,71
71,2,0,61
61,4,0,51
51,2,0,41
41,3,0,51
51,1,0,51
51,2,0,52
52,4,0,42
42,3,0,52
52,1,0,53
53,1,0,52
52,1,0,51
51,1,0,51
51,2,0,52
52,4,0,62
62,4,0,52
52,2,0,53
53,1,0,54
54,1,0,53
53,3,0,63
63,3,0,73
73,3,0,83
83,4,0,73
73,4,0,74
74,1,0,73
73,2,0,74
74,4,0,64
64,2,0,65
65,1,0,64
64,3,0,74
74,3,0,84
84,4,0,74
74,4,0,64
64,3,0,74
74,4,0,64
64,2,0,65
65,4,0,55
55,1,0,45
6,2,0,7
7,1,0,17
17,4,0,7
7,4,0,7
7,2,0,8
8,1,0,7
7,2,0,8
8,4,0,8
8,2,0,18
18,3,0,28
28,2,0,29
29,2,0,30
30,3,0,20
20,3,0,30
30,1,0,29
29,3,0,39
39,2,0,29
29,4,0,30
30,3,0,29
29,1,0,28
28,4,0,18
18,1,0,17
17,3,0,27
27,1,0,26
26,2,0,27
27,4,0,17
17,4,0,7
7,4,0,7
7,3,0,6
6,3,0,16
16,2,0,26
26,1,0,25
25,4,0,15
15,1,0,14
14,3,0,24
24,2,0,25
25,1,0,24
24,1,0,23
23,2,3,24
24,1,0,25
25,2,0,26
26,4,0,16
16,1,0,15
15,1,0,14
14,2,0,15
15,3,0,25
25,4,0,15
15,4,0,5
5,1,0,4
4,4,0,4
4,4,0,4
4,3,0,3
3,1,0,2
2,4,0,2
2,2,0,3
3,1,0,2
2,3,0,12
12,4,0,22
22,1,0,32
32,2,0,31
31,4,0,21
21,4,0,11
11,4,0,1
1,2,0,2
2,2,0,3
3,1,0,2
2,2,0,3
3,4,0,3
3,4,0,3
3,4,0,3
3,1,0,2
2,3,0,3
3,3,0,13
13,1,0,12
12,1,0,22
22,4,0,23
23,3,3,33
33,3,0,43
43,4,0,44
44,3,0,54
54,2,0,55
55,4,0,45
45,2,0,44
44,2,0,45
45,2,0,46
46,1,0,47
47,4,0,37
37,1,0,36
36,4,0,26
26,2,0,27
27,3,0,37
37,2,0,38
38,2,0,28
28,3,0,38
38,4,0,39
39,3,0,29
29,3,0,39
39,3,0,49
49,1,0,50
50,3,0,60
5,1,0,4
4,2,0,5
5,4,0,5
5,1,0,4
4,1,0,14
14,1,0,13
13,3,0,23
23,2,3,24
24,4,0,34
34,1,0,33
33,3,0,32
32,1,0,31
31,3,0,41
41,1,0,41
41,3,0,51
51,4,0,41
41,2,0,31
31,3,0,21
21,2,0,22
22,4,0,12
12,1,0,11
11,3,0,21
21,4,0,11
11,3,0,21
21,2,0,22
22,3,0,32
32,3,0,42
42,3,0,52
52,2,0,53
53,1,0,52
52,1,0,51
51,4,0,52
52,1,0,51
51,4,0,41
41,1,0,41
41,1,0,41
41,4,0,51
51,3,0,61
61,2,0,62
62,2,0,63
63,3,0,73
73,2,0,74
74,4,0,64
64,3,0,74
74,2,0,75
75,2,0,76
76,4,0,77
77,3,0,76
76,2,0,77
77,1,0,87
87,2,0,88
88,4,0,78
78,1,10,77
77,1,0,76
76,2,0,77
77,3,0,87
87,4,0,77
77,1,0,76
76,3,0,86
86,1,0,85
85,1,0,84
84,4,0,74
74,2,0,64
64,3,0,74
74,3,0,84
84,2,0,85
85,1,0,75
75,3,0,76
76,1,0,75
75,4,0,65
65,3,0,55
55,4,0,56
56,3,0,66
66,1,0,65
65,2,0,66
66,4,0,56
56,2,0,57
57,4,0,47
47,3,0,57
57,3,0,47
47,3,0,57
57,2,0,58
58,1,0,57
57,4,0,56
56,3,0,55
55,1,0,54
54,1,0,64
64,4,0,54
54,3,0,64
64,2,0,65
65,2,0,64
64,1,0,54
54,4,0,55
55,1,0,54
54,3,0,53
53,4,0,43
43,3,0,53
53,1,0,52
52,1,0,53
53,2,0,63
6,4,0,6
6,3,0,16
16,1,0,15
15,4,0,5
5,3,0,6
6,2,0,5
5,3,0,6
6,4,0,6
6,4,0,6
6,3,0,16
16,2,0,17
17,1,0,16
16,3,0,26
26,3,0,36
36,4,0,26
26,2,0,27
27,4,0,37
37,3,0,47
47,2,0,48
48,1,0,49
49,4,0,39
39,4,0,29
29,1,0,39
39,3,0,49
49,3,0,39
39,2,0,40
40,3,0,30
30,3,0,29
29,4,0,19
19,4,0,9
9,4,0,9
9,1,0,8
8,4,0,8
8,3,0,18
18,1,0,17
17,3,0,27
27,2,0,17
17,1,0,7
7,1,0,6
6,1,0,5
5,3,0,15
15,4,0,16
16,2,0,17
17,1,0,16
16,3,0,26
26,3,0,36
36,4,0,46
46,4,0,36
36,3,0,37
37,3,0,47
47,2,0,48
48,2,0,49
49,2,0,50
50,1,0,60
60,3,0,70
70,1,0,80
80,4,0,90
90,1,0,100
100,4,0,99
99,2,0,100
100,2,0,100
100,4,0,90
90,1,0,89
89,3,0,99
99,4,0,98
98,1,0,97
97,3,0,97
97,4,0,87
87,1,0,88
88,2,0,89
89,3,0,90
90,4,0,80
80,1,0,79
79,2,0,80
80,2,0,80
80,4,0,79
79,1,0,78
78,4,10,77
77,2,0,76
76,3,0,86
86,1,0,85
85,3,0,95
95,2,0,96
96,3,0,96
96,3,0,96
96,2,0,97
97,3,0,97
97,4,0,87
87,2,0,88
88,2,0,89
89,2,0,90
90,1,0,89
89,2,0,90
90,2,0,90
90,3,0,80
80,4,0,70
70,1,0,69
69,2,0,68
68,2,0,69
69,1,0,68
92,2,0,91
91,3,0,91
91,2,0,92
92,1,0,91
91,3,0,91
91,4,0,81
81,1,0,81
81,1,0,81
81,1,0,81
81,4,0,71
71,4,0,72
72,4,0,62
62,3,0,72
72,1,0,71
71,1,0,71
71,2,0,72
72,4,0,62
62,1,0,61
61,4,0,51
51,3,0,61
61,4,0,51
51,4,0,61
61,1,0,61
61,2,0,71
71,3,0,81
81,1,0,81
81,1,0,81
81,4,0,71
71,4,0,61
61,1,0,61
61,1,0,61
61,2,0,62
62,4,0,52
52,3,0,62
62,4,0,72
72,1,0,62
62,4,0,61
61,3,0,71
71,3,0,61
61,4,0,51
51,1,0,51
51,1,0,51
51,4,0,52
52,3,0,62
62,1,0,61
61,4,0,51
51,1,0,51
51,4,0,41
41,3,0,31
31,4,0,21
21,4,0,31
31,4,0,21
21,3,0,31
31,1,0,31
31,4,0,21
21,2,0,22
22,2,0,12
12,1,0,22
22,3,0,32
32,4,0,22
22,1,0,21
21,4,0,11
11,2,0,12
12,2,0,13
13,3,0,23
23,2,3,24
24,2,0,25
25,3,0,15
15,4,0,16
16,1,0,15
15,3,0,25
25,3,0,35
35,2,0,34
34,1,0,33
33,4,0,23
23,3,3,33
33,1,0,34
34,4,0,24
24,1,0,23
23,3,3,33
33,2,0,43
43,1,0,42
42,3,0,52
52,1,0,51
51,4,0,41
41,4,0,31
31,3,0,41
41,1,0,41
41,4,0,51
51,2,0,61
61,1,0,61
61,2,0,71
71,1,0,71
71,2,0,81
81,3,0,91
91,2,0,92
92,1,0,82
82,3,0,92
92,4,0,82
82,2,0,83
24,1,0,23
23,2,3,24
24,1,0,34
34,3,0,35
35,1,0,34
34,1,0,33
33,4,0,23
23,3,3,13
13,2,0,14
14,1,0,13
13,1,0,12
12,3,0,22
22,1,0,21
21,4,0,11
11,1,0,11
11,1,0,11
11,4,0,1
1,3,0,2
2,2,0,3
3,2,0,4
4,1,0,3
3,1,0,2
2,1,0,1
1,2,0,2
2,1,0,1
1,2,0,2
2,4,0,2
2,1,0,1
1,3,0,11
11,2,0,1
1,4,0,1
1,4,0,1
1,3,0,11
11,1,0,11
11,3,0,21
21,1,0,21
21,3,0,31
31,4,0,41
41,4,0,31
31,4,0,32
32,3,0,22
22,3,0,32
32,2,0,33
33,2,0,34
34,3,0,44
44,4,0,45
45,1,0,44
44,2,0,45
45,2,0,46
46,2,0,36
36,4,0,37
37,1,0,36
36,4,0,26
26,2,0,27
27,1,0,26
26,2,0,25
25,4,0,15
15,4,0,14
14,4,0,24
24,3,0,34
34,4,0,24
24,3,0,34
34,4,0,35
35,2,0,36
36,1,0,26
26,1,0,25
25,4,0,15
15,4,0,5
5,3,0,15
15,1,0,5
5,2,0,6
6,2,0,7
7,3,0,17
17,1,0,16
16,4,0,17
17,3,0,27
27,1,0,26
26,1,0,36
36,4,0,46
46,2,0,47
47,1,0,46
46,3,0,45
45,2,0,46
46,1,0,56
56,2,0,57
57,1,0,56
56,2,0,57
57,2,0,67
67,3,0,77
77,2,0,78
78,4,10,68
68,1,0,58
58,4,0,68
68,4,0,69
69,3,0,79
79,1,0,78
78,3,10,77
77,4,0,67
67,1,0,68
68,4,0,78
35,1,0,34
34,2,0,35
35,2,0,34
34,1,0,33
33,3,0,43
43,2,0,44
44,1,0,43
43,4,0,33
33,4,0,23
23,2,3,24
24,1,0,23
23,4,3,13
13,4,0,3
3,3,0,13
13,1,0,12
12,1,0,11
11,4,0,21
21,1,0,21
21,3,0,22
22,2,0,23
23,2,3,24
24,4,0,34
34,3,0,24
24,3,0,23
23,4,3,13
13,2,0,14
14,2,0,15
15,1,0,14
14,2,0,15
15,1,0,14
14,1,0,13
13,3,0,23
23,3,3,24
24,1,0,23
23,1,3,22
22,2,0,23
23,1,3,24
24,4,0,34
34,3,0,33
33,4,0,23
23,4,3,13
13,1,0,12
12,3,0,22
22,2,0,23
23,4,3,22
22,3,0,32
32,2,0,33
33,2,0,34
34,2,0,33
33,4,0,23
23,4,3,33
33,1,0,32
32,3,0,42
42,3,0,41
41,2,0,42
42,4,0,32
32,1,0,33
33,3,0,32
32,2,0,33
33,4,0,23
23,2,3,22
22,3,0,32
32,3,0,31
31,3,0,41
41,1,0,41
41,1,0,41
41,1,0,41
41,4,0,31
31,4,0,21
21,3,0,31
31,2,0,32
32,1,0,31
31,3,0,41
41,2,0,42
42,4,0,32
32,1,0,31
31,3,0,41
41,3,0,31
31,4,0,32
32,4,0,33
33,3,0,43
43,1,0,42
42,2,0,43
43,3,0,44
44,2,0,54
54,1,0,53
53,4,0,43
43,2,0,44
44,1,0,45
45,3,0,55
55,2,0,65
65,4,0,55
55,1,0,54
54,2,0,55
55,4,0,65
